Group_Hypothesis,Sub_Hypothesis,Description,Expression
Mean Reversion,Correlation-Based Reversion,"If the correlation between a stock and its sector drops below a threshold, price will revert.","correlation = corr(StockPrice, SectorIndex); signal = 1 if correlation < 0.8 else 0"
Mean Reversion,Bollinger Band Reversion,Prices are expected to revert towards the middle Bollinger Band after touching the upper or lower bands.,signal = (Price - MiddleBollingerBand) / MiddleBollingerBand
Mean Reversion,Relative Strength Reversion,A stock significantly outperforming or underperforming its sector is expected to exhibit mean reversion in relative strength.,"signal = z-score(StockReturn - SectorReturn); long if signal < -1.5, short if signal > 1.5"
Mean Reversion,MACD Crossover Reversion,"A bearish MACD crossover is followed by a price drop, then a mean reversion to the moving average.",signal = 1 if MACD crosses below signal line and Close < 20-day MA else 0
Momentum,5-Day Price Leader,Stocks that have had the highest 5-day price return will continue to outperform in the next 2 days.,"Signal = Rank(Sum(log(Price[t]/Price[t-i]), i=1 to 5))"
Momentum,Short-Term Price Acceleration,Stocks with increasing positive returns over the last three days will show continued outperformance.,Signal = (Return[t] - Return[t-1]) + (Return[t-1] - Return[t-2])
Momentum,PE Ratio Expansion,Stocks with expanding P/E ratios over the last 5 days tend to exhibit continued short-term price gains.,Signal = (PE(t) / PE(t-5))
Momentum,Sector Momentum,Stocks within the best performing sector over the past month will outperform the market.,"Signal = 1 if Stock belongs to Top-performing Sector (based on sector index return), 0 otherwise"
Momentum,Low Correlation Breakout,Assets with historically low correlation to the market that experience a sudden increase in price will outperform.,"Correlation(Asset, Market, 60) < 0.2 AND Price_Change_5D > 0.1; Signal = 1 if True, 0 otherwise"
Momentum,Gap Up Strength,Assets opening significantly higher than the previous day's close will outperform in the following day's trading.,"(Open(t) / Close(t-1)) > 1.02; Signal = 1 if True, 0 otherwise"
Undervalued Assets Outperformance,Price-to-Book Value Discrepancy,Companies trading at a price-to-book ratio substantially lower than their historical average will generate excess returns.,Signal = 1 if (P/B_current < 0.75 * avg(P/B_historical)) else 0
Undervalued Assets Outperformance,Contrarian Value Momentum,Stocks that have recently underperformed but exhibit strong fundamental value will subsequently outperform.,Signal = (ValueScore * (1 - RecentPerformance))
Undervalued Assets Outperformance,Low Debt-to-Equity Ratio Growth,Companies with low debt-to-equity ratios and increasing earnings will show superior returns.,Signal = (1 - DebtToEquityRatio) * EarningsGrowthRate
Undervalued Assets Outperformance,Earnings Surprise Recovery,Companies that miss earnings expectations but subsequently show strong earnings revisions will see price appreciation.,Signal = 1 if (Earnings_surprise < 0 and Earnings_revision > 0.1) else 0
Undervalued Assets Outperformance,Free Cash Flow Yield Advantage,Stocks with high free cash flow yield relative to their market capitalization will outperform.,Signal = (Free_Cash_Flow / Market_Cap)
Undervalued Assets Outperformance,High ROE & Low Valuation,Companies with high return on equity (ROE) and low P/B ratios will produce above-average returns.,Signal = ROE / PBratio
Undervalued Assets Outperformance,Short Interest Squeeze Potential,High short interest levels indicate potential for short covering and increased price.,Signal = ShortInterestRatio
Liquidity and Momentum,High-Volume Momentum,High-volume stocks that have shown strong upward price momentum will continue to outperform in the short term.,Signal = (Price_t / Price_{t-20}) * Volume_t;  // Higher values indicate stronger momentum
Liquidity and Value,Low P/E Ratio with High Volume,Low P/E ratio stocks with high trading volume will outperform their peers over the next quarter.,"Signal = (P/E_t < percentile_X) * Avg(Volume,90)"
Low Volatility Alpha,Volume-Adjusted Volatility,Stocks with low volatility adjusted for trading volume are expected to generate higher risk-adjusted returns.,"Signal = 1 / (STDDEV(ClosePrice, 20) * AVG(Volume, 20))"
Liquidity and Sentiment,High Volume Positive Sentiment,High-volume stocks with strongly positive sentiment scores will outperform in the next week.,"Signal = Avg(Volume, 7) * Sentiment_Score"
Liquidity and Correlation,Low Correlation High Volume,High-volume stocks with low correlation to the market index will generate excess returns.,"Signal = Avg(Volume, 30) * (1 - Correlation(Stock_Return, Market_Return, 30))"
Liquidity and Market Breadth,High Volume Market Advance,High-volume stocks will outperform during periods of broad market advances.,"Signal = Avg(Volume, 5) * (Number_of_Advancing_Stocks / Total_Number_of_Stocks)"
Liquidity and Short Interest,High Volume Short Squeeze,High-volume stocks with high short interest are more likely to experience short squeezes leading to price increases.,"Signal = Avg(Volume, 10) * Short_Interest_Ratio"
Liquidity and Earnings Surprise,High Volume Earnings Beat,High-volume stocks that exceed earnings expectations will outperform in the following week.,"Signal = Avg(Volume, 5) * (EPS_Actual - EPS_Estimate)"
Order Flow & Liquidity,Large Order Imbalance,A large imbalance between buy and sell orders in illiquid stocks predicts short-term price movement in the direction of the larger order flow.,Signal = (Buy_Orders_t - Sell_Orders_t) / Volume_t
Post-Earnings Volatility,Low Volatility Continuation,Stocks with low post-earnings volatility continue their pre-announcement price trend over the next two weeks.,"Signal = Average(daily_return, lookback=5) * (1 -  StandardDeviation(daily_return, lookback=5))"
Volatility and Volume,Volatility and Volume Surge,High volatility combined with unusually high volume predicts a price increase.,"signal = stddev(ClosePrice, 5) * (Volume / mean(Volume, 20))"
Volatility and Sentiment,Fear Index and Volatility,A high fear index combined with high market volatility predicts a short-term market decline.,"signal = -1 * (FearIndex * stddev(Index, 10))"
Volatility and Correlation,Decreased Correlation Volatility,Decreased correlation between a stock and the market index during periods of high market volatility signals an outperformance opportunity.,"signal = (1 - corr(StockPrice, IndexPrice, 20)) * stddev(IndexPrice, 10)"
Volatility and Sector Rotation,Defensive Sector Volatility,Low volatility within defensive sectors during periods of high market volatility signals buying opportunities.,"signal = (1 - stddev(DefensiveSectorIndex, 20)) * stddev(MarketIndex, 10)"
Volatility-Contango,Short-Term Volatility Decay,"High short-term implied volatility relative to long-term implied volatility decays faster than expected, offering profit from shorting short-term volatility.",Signal = Short-term Implied Volatility - Long-term Implied Volatility
Volatility and Value,High Volatility Value Stocks,High volatility stocks with low P/E ratios will outperform in the following month.,"signal = (stddev(ClosePrice, 20) / mean(ClosePrice,20)) * (1 / PEratio)"
Calendar Effects,Turn of the Month,Market returns are higher in the last few days of the month.,Signal = Average Return of the last 5 trading days of each month
Seasonality,Summer Slump,Stock returns are lower during the summer months (June-August).,"Signal = Average(DailyReturn) for June, July, August"
Seasonality,Earnings Announcement Season,Stock prices tend to react strongly to earnings announcements during specific quarters.,Signal =  (Price_post_earnings - Price_pre_earnings) / Price_pre_earnings
Seasonality,Quarterly P/E Ratio Change,The P/E ratio of stocks exhibits seasonal patterns throughout the year.,Signal = (P/E_ratio_current_quarter - Average_P/E_ratio_past_4_quarters) / Average_P/E_ratio_past_4_quarters
Seasonality,Month-of-the-Year Effect on Volatility,Market volatility exhibits different patterns across different months.,Signal = Volatility_month / Average_Volatility_year
Seasonality,Sectoral Rotation,Different economic sectors perform better in different seasons.,Signal = (Return_sector_i_season_j - Average_return_sector_i) / Average_return_sector_i
News Sentiment and Volatility,Sentiment Volatility Shock,A sudden spike in negative news sentiment predicts increased price volatility in the short term.,"signal = stddev(sentiment_score, 2); buy if signal > 2 * average(signal, 20)"
News Sentiment and Correlation,Sentiment-Sector Correlation,"Strong positive news sentiment for a specific asset, exceeding sector sentiment, predicts outperformance.",signal = (asset_sentiment - sector_sentiment); buy if signal > threshold
Sentiment and Trading Range,Sentiment Breakout,A significant change in sentiment triggers a breakout from the recent price range.,"Signal =  (High[t] > MAX(High, 10) || Low[t] < MIN(Low, 10)) * Sentiment[t]; //Triggers on breakout multiplied by current sentiment"
News Sentiment & Market Regime,Sentiment Regime Shift,A shift from predominantly negative to positive sentiment in a bearish market indicates a potential market bottom.,"signal = (sentiment_score - SMA(sentiment_score, 50)) / stddev(sentiment_score, 50)"
Statistical Arbitrage: Index Tracking,Volatility Spread,The difference between the implied volatility of an index and the average implied volatility of its constituents predicts index returns.,Signal = Index Implied Volatility - Average Constituent Implied Volatility
Correlation Arbitrage: Exploiting temporary mispricing between correlated assets,Volume Disparity,Disproportionate trading volume in one asset relative to its correlated pair signals a potential price adjustment.,"signal = (Volume_AssetA / Volume_AssetB) - average(Volume_AssetA / Volume_AssetB, window=20)"
Correlation Arbitrage,PE Ratio Disparity,A significant difference in P/E ratios between two correlated companies suggests an arbitrage opportunity.,signal = PERatio_companyA - PERatio_companyB
Correlation Arbitrage,Arbitrage Index,A composite index based on multiple factors predicts profitable arbitrage opportunities.,"signal = weighted_average([5-Day Price Reversion, Volume Disparity, Beta Deviation])"
Arbitrage: Exploiting pricing discrepancies between related assets,Index Tracking Error,The tracking error between an index fund and its benchmark index will revert to the mean over a 30 day period.,"signal = (FundReturn - IndexReturn) - MA(FundReturn - IndexReturn, 30)"
Mean Reversion,Bollinger Band Squeeze Reversion,Stocks whose price is within a narrow Bollinger Band range tend to experience higher volatility and potential price changes soon after.,"signal = (UpperBB - LowerBB) / SMA(Price, 20) where signal < 0.02"
Mean Reversion,Stochastic Oscillator Reversion,Asset prices are expected to revert when the Stochastic Oscillator reaches overbought or oversold levels.,signal = (StochasticOscillator - 50) / 50
Mean Reversion,Variance Ratio Reversion,High variance ratios are expected to revert to lower levels over time.,signal = (1/VarianceRatio) -1; if(signal > 0.2) then position sizing = signal
Momentum,Sentiment & Momentum,Stocks with positive news sentiment and strong 10-day price momentum will continue their positive performance.,Signal = (Sentiment_Score[t] + (Price[t]/Price[t-10])) / 2
Momentum,5-Day Moving Average Crossover,"When the 5-day moving average crosses above the 10-day moving average, a buy signal is generated.","Signal = 1 if MA(Price,5) > MA(Price,10) else 0"
Undervalued Assets Outperformance,Book Value Discount,Companies trading at a substantial discount to their book value will outperform the market.,Signal = 1 if (Market_Price < 0.7 * Book_Value_per_Share) else 0
Undervalued Assets Outperformance,Low EV/EBITDA Multiple,Companies with low Enterprise Value to EBITDA multiples relative to their sector will outperform.,Signal = (IndustryAvgEVEBITDA - StockEVEBITDA) / IndustryAvgEVEBITDA
Undervalued Assets Outperformance,Analyst Upgrade Prediction,Stocks with multiple analyst upgrades in a short period will outperform due to increased market confidence.,Signal = NumberOfUpgrades * (PriceTargetChange / CurrentPrice)
Volatility Changes Predict Returns,Volatility Clustering Momentum,"Periods of high volatility tend to persist, leading to further positive or negative returns.",signal = std(returns_t-n:t)
Volatility Changes Predict Returns,Volatility Skew Reversal,Changes in the skew of market volatility predict a reversal in the current market direction.,signal = (skew_current - skew_avg) / skew_stddev
